title,budget,revenue,runtime,vote_average,popularity
A Girl Walks Home Alone at Night,1.0,0.395,99.0,6.9,6.039895
Song One,6.0,0.032251,86.0,5.5,6.743182
"I, Frankenstein",65.0,71.154592,92.0,5.1,9.415817
The Monuments Men,70.0,154.984035,118.0,5.8,11.132411
Non-Stop,50.0,222.8096,106.0,6.8,19.650229
That Awkward Moment,8.0,26.049082,94.0,6.1,8.060403
RoboCop,120.0,242.688965,102.0,5.7,10.246549
Forbidden Kingdom,26.0,34.592118,127.0,4.9,5.653476
Justice League: War,3.5,5.155325,79.0,7.0,8.138622
Barefoot,6.0,0.015071,90.0,6.3,5.939334
The Lego Movie,60.0,469.160692,100.0,7.5,16.418133
Mr. Peabody & Sherman,145.0,272.91243,92.0,6.7,9.493838
Ohm Shanthi Oshaana,0.22,1.5,130.0,6.9,0.633359
Aloft,8.0,0.053086,112.0,5.1,3.851653
Endless Love,20.0,34.07792,103.0,6.7,8.757277
Beauty and the Beast,33.0,49.1,112.0,5.8,19.628834
Winter's Tale,60.0,30.800231,118.0,6.0,7.363527
About Last Night,12.5,49.002684,100.0,6.0,9.543004
3 Days to Kill,28.0,52.597999,113.0,6.0,17.861119
Pompeii,130.0,117.831631,105.0,5.2,12.204174
The Grand Budapest Hotel,30.0,174.600318,99.0,8.0,14.442048
Easy on the Eyes,2.153912,4.86456,83.0,3.9,0.334881
Son of God,22.0,67.800064,138.0,5.9,6.477292
Repentance,5.0,1.189612,90.0,5.1,1.962873
300: Rise of an Empire,110.0,337.580051,102.0,6.1,12.904677
Need for Speed,66.0,203.277636,130.0,6.1,18.271383
Veronica Mars,6.0,3.485127,107.0,6.5,7.510159
Better Living Through Chemistry,5.0,0.075143,91.0,5.9,7.392294
Under the Skin,13.3,5.380251,108.0,6.0,6.707974
Divergent,85.0,288.747895,139.0,6.9,21.572585
The Signal,4.0,0.600896,95.0,5.8,8.536786
Rio 2,103.0,500.188435,102.0,6.3,8.18534
Muppets Most Wanted,50.0,80.38329,112.0,6.2,7.244956
Captain America: The Winter Soldier,170.0,714.766572,136.0,7.6,18.717704
Noah,125.0,362.637473,139.0,5.5,14.924487
God's Not Dead,17.0,29.789,113.0,5.9,6.097499
50 to 1,10.0,1.064454,110.0,5.7,2.691651
Parts Per Billion,0.5,15.0,139.0,4.4,8.279917
Moms' Night Out,5.0,10.429707,98.0,5.5,6.127302
The Raid 2,4.5,2.627209,150.0,7.6,8.434884
Sabotage,35.0,17.508518,110.0,5.5,6.966505
The Quiet Ones,0.2,17.834867,98.0,5.1,6.322844
Afflicted,0.318,0.121179,85.0,6.4,8.93232
Locke,2.0,4.6353,85.0,6.9,12.792394
Draft Day,25.0,28.831145,109.0,6.5,5.596449
Joe,4.0,2.365467,118.0,6.5,13.784411
Heaven is for Real,12.0,101.332962,99.0,6.1,7.88371
Transcendence,100.0,103.039258,119.0,5.9,9.730176
The Amazing Spider-Man 2,200.0,705.717432,142.0,6.5,26.23687
The Other Woman,40.0,196.781193,109.0,6.2,9.389354
Black Rose,7.0,0.85545,83.0,2.0,2.482771
13 Sins,5.0,0.013809,93.0,6.2,9.067788
Brick Mansions,28.0,68.896829,90.0,5.7,7.482959
Barbecue,6.0,14.348529,98.0,5.8,4.707275
Decoding Annie Parker,2.0,0.04839,91.0,5.5,3.880541
Walk of Shame,15.0,0.059209,95.0,5.8,7.844705
Neighbors,18.0,268.1574,96.0,6.2,11.90575
Chef,11.0,45.967935,114.0,7.2,8.720309
Million Dollar Arm,25.0,38.307627,124.0,6.6,9.453942
Godzilla,160.0,529.076069,123.0,6.1,14.019239
X-Men: Days of Future Past,250.0,747.862775,131.0,7.5,26.058586
The Fault in Our Stars,12.0,307.166834,125.0,7.6,16.274653
The Rover,12.25,2.295423,103.0,6.1,6.561373
The Homesman,16.0,3.442853,122.0,6.4,7.375146
Foxcatcher,24.0,12.0963,134.0,6.5,8.10357
Blended,40.0,123.49461,117.0,6.6,10.395472
"Two Days, One Night",7.0,6.860853,95.0,6.8,6.868022
The Salvation,10.5,42.07,100.0,6.2,8.253705
The Babadook,2.0,6.676471,93.0,6.5,8.832788
Mommy,4.9,3.49407,138.0,8.2,14.876086
Heropanti,4.2,10.0,146.0,5.4,2.031919
Edge of Tomorrow,178.0,370.541256,113.0,7.6,31.982986
Maleficent,180.0,758.539785,97.0,7.0,19.467404
Bangalore Days,7.4,1.3,172.0,7.4,0.955596
The Grand Seduction,12.7,3.430018,112.0,6.7,15.108283
French Women,5.0,12.058187,116.0,5.6,6.976069
22 Jump Street,50.0,188.441614,112.0,7.0,10.901496
Boyhood,4.0,44.349,164.0,7.5,6.430591
All at Once,0.75,3e-06,0.0,6.0,0.201582
Jersey Boys,40.0,67.347013,134.0,6.8,6.447072
How to Train Your Dragon 2,145.0,609.123048,102.0,7.6,12.256689
White God,2.2,0.282358,121.0,6.6,6.313465
Earth to Echo,13.0,45.3,89.0,5.7,12.412221
Think Like a Man Too,24.0,70.181428,105.0,6.3,7.576924
Transformers: Age of Extinction,210.0,1091.405097,165.0,5.8,18.495599
Dawn of the Planet of the Apes,170.0,710.644566,130.0,7.3,75.385211
Mrs. Brown's Boys D'Movie,5.9,23.0,94.0,4.7,1.840891
Tammy,20.0,100.525432,97.0,5.0,7.359522
Lucy,40.0,126.546825,89.0,6.3,36.447603
Step Up All In,45.0,86.165646,112.0,6.7,8.588926
The Purge: Anarchy,9.0,108.782847,104.0,6.6,27.756026
Sex Tape,40.0,126.069509,97.0,5.2,27.470696
Planes: Fire & Rescue,50.0,151.165787,83.0,5.8,7.579855
Duniyadari,0.39,3e-06,148.0,0.0,0.016219
And So It Goes,18.0,25.312387,94.0,5.7,7.69684
Hercules,100.0,243.4,99.0,5.6,19.606895
Kick,22.0,55.0,146.0,6.0,7.366331
A Most Wanted Man,15.0,31.554855,121.0,6.5,10.432407
Magic in the Moonlight,16.8,51.029361,97.0,6.5,6.626077
Guardians of the Galaxy,170.0,773.328629,121.0,7.9,53.291601
The Admiral: Roaring Currents,9.5,112.156811,126.0,7.0,5.062756
The Expendables 3,90.0,206.172544,127.0,6.1,14.753545
The Hundred-Foot Journey,22.0,88.880821,122.0,7.3,14.466789
Into the Storm,50.0,160.602194,89.0,5.8,9.092925
Teenage Mutant Ninja Turtles,125.0,477.2,101.0,5.8,22.337973
Stand by Me Doraemon,35.0,83.061158,90.0,7.0,6.493765
The Giver,25.0,66.980456,94.0,6.4,12.472206
Let's Be Cops,17.0,136.621271,104.0,6.4,15.962793
"As Above, So Below",5.0,40.1,93.0,6.1,10.846585
Life After Beth,2.4,0.088273,90.0,5.0,5.486893
Clouds of Sils Maria,6.6,1.851517,124.0,6.7,8.151346
Sin City: A Dame to Kill For,65.0,39.407616,102.0,6.3,20.623642
"Kidnapping, Caucasian Style",3.5,0.179,95.0,1.7,0.524653
If I Stay,11.0,78.874843,106.0,7.3,9.659244
The Prince,18.0,266.5868,93.0,4.6,16.219485
When the Game Stands Tall,15.0,30.127963,115.0,6.3,6.617708
The November Man,15.0,32.556119,108.0,6.0,13.310556
Birdman,18.0,103.215094,119.0,7.4,18.193263
Predestination,5.5,3.0,97.0,7.3,10.524204
Raja Natwarlal,5e-06,4e-06,141.0,5.5,1.109545
Before I Go to Sleep,22.0,15.447154,92.0,6.2,14.921298
The Green Inferno,5.0,6.833445,100.0,5.0,9.336019
Big Game,8.5,7.5,90.0,5.3,6.911759
5 Flights Up,6.0,1.020921,92.0,5.9,9.383088
Mary Kom,0.224056,15.536328,122.0,7.0,1.416035
Black or White,9.0,21.571189,121.0,6.5,10.763583
Cake,7.0,2.360281,102.0,6.2,10.197503
Miss Julie,5.5,5.0,120.0,5.8,3.791712
My Old Lady,5.0,7.527232,107.0,6.1,11.127162
Gemma Bovery,9.7,0.154701,99.0,6.2,5.105914
The Boxtrolls,60.0,108.25577,97.0,6.6,11.563909
This Is Where I Leave You,19.8,41.29632,103.0,6.5,11.313659
Beyond the Lights,7.0,14.618727,116.0,7.0,6.293515
No Good Deed,13.2,53.830415,83.0,5.6,24.644321
The Maze Runner,34.0,348.319861,113.0,7.0,76.93789
Dolphin Tale 2,36.0,52.424533,107.0,6.7,8.268684
The Drop,12.6,19.054534,106.0,6.7,11.695036
Honeymoon,1.0,0.009318,87.0,5.4,6.107378
Atlas Shrugged Part III: Who is John Galt?,5.0,0.846704,99.0,3.9,1.845554
The Guest,5.0,2.367161,99.0,6.5,6.441964
A Walk Among the Tombstones,28.0,53.1816,113.0,6.2,14.914924
Tusk,2.8,1.826705,102.0,5.1,6.820925
The Equalizer,55.0,192.330738,132.0,7.1,17.618057
Marshland,4.0,5.169755,105.0,7.1,11.127717
The Book of Life,50.0,97.437106,95.0,7.3,10.337994
Dracula Untold,70.0,215.529201,92.0,6.2,16.316318
Gone Girl,61.0,369.330363,145.0,7.9,154.801009
Annabelle,6.5,255.273813,99.0,5.5,23.242452
Torrente 5: Operación Eurovegas,9.272437,11.672363,105.0,5.2,4.207751
Left Behind,16.0,19.682924,110.0,3.7,11.519053
Na Maloom Afraad,0.88413,2.259444,137.0,6.2,0.241973
The Judge,50.0,83.719388,141.0,7.2,17.887943
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28.0,100.654149,81.0,6.1,7.861004
99 Homes,8.0,1.411927,112.0,6.8,6.60913
Kill the Messenger,5.0,2.450846,112.0,6.6,13.524048
St. Vincent,13.0,54.837234,102.0,7.1,13.655752
Whiplash,3.3,13.092,105.0,8.3,64.29999
Escobar: Paradise Lost,17.0,3.758328,120.0,6.1,12.543659
The Loft,14.0,10.07679,108.0,6.4,14.443362
Samba,20.0,0.15153,118.0,6.4,11.024334
Fury,68.0,211.817906,135.0,7.4,36.713807
The Best of Me,26.0,35.926213,117.0,7.2,8.196975
Camp X-Ray,1.0,0.059744,117.0,6.7,11.153327
Treehouse,3.25,3.25,96.0,3.5,1.574542
John Wick,20.0,88.761661,101.0,7.0,183.870374
Nightcrawler,8.5,38.697217,117.0,7.6,21.277073
Ouija,5.0,103.590271,89.0,4.9,13.288564
Big Hero 6,165.0,652.105443,102.0,7.8,213.849907
Kung Fu Jungle,25.0,0.129115,100.0,6.5,6.636514
Interstellar,165.0,675.120017,169.0,8.1,32.213481
Suite Française,15.0,9.104716,107.0,7.1,5.02124
The Opposite Sex,3.3,0.045,96.0,4.1,3.436499
The Guide,0.722083,0.499168,120.0,8.6,0.817488
Dumb and Dumber To,40.0,169.83701,110.0,5.4,15.402597
The Imitation Game,14.0,233.555708,113.0,8.0,31.59594
The Hunger Games: Mockingjay - Part 1,125.0,752.100229,123.0,6.6,147.098006
Penguins of Madagascar,132.0,373.552094,92.0,6.5,22.201607
The Theory of Everything,15.0,123.726688,123.0,7.8,11.85302
Horrible Bosses 2,42.0,107.670357,108.0,6.1,20.903362
Paddington,55.0,259.207227,95.0,7.0,15.686837
Zid,1.556288,1.268395,128.0,7.5,0.195677
Exodus: Gods and Kings,140.0,268.031828,150.0,5.6,16.320249
The Pyramid,6.5,13.865435,89.0,4.6,9.312354
Still Alice,5.0,43.884652,99.0,7.5,8.823253
Wild,15.0,52.501541,115.0,7.0,11.209154
The Hobbit: The Battle of the Five Armies,250.0,956.019788,144.0,7.1,31.718977
American Sniper,58.8,542.307423,133.0,7.4,19.228561
Seventh Son,95.0,114.178613,102.0,5.2,15.297821
Taken 3,48.0,325.771424,109.0,6.1,18.081483
Night at the Museum: Secret of the Tomb,127.0,349.424282,97.0,6.1,19.539436
PK,13.0,120.0,153.0,7.7,12.58752
Annie,65.0,133.821816,119.0,6.0,13.275529
Big Eyes,10.0,28.883511,105.0,6.8,7.412826
The Interview,44.0,12.342632,112.0,6.1,14.526049
Unbroken,65.0,163.442937,137.0,7.3,10.543955
Inherent Vice,20.0,11.110975,148.0,6.5,13.52638
The Gambler,25.0,39.17113,111.0,5.7,8.728556
Selma,20.0,66.787908,127.0,7.4,7.107071
Into the Woods,50.0,212.902372,125.0,5.6,9.580785
The Water Diviner,22.5,15.520023,112.0,6.8,9.615664
The Woman in Black 2: Angel of Death,1.0,26.501323,90.0,5.0,6.942139
A Most Violent Year,20.0,12.00707,125.0,6.5,17.187708
Blackhat,70.0,17.75294,133.0,5.1,14.932368
Tracers,11.0,0.593683,94.0,5.9,9.056173
The Wedding Ringer,23.0,79.79988,101.0,6.5,12.21459
Mortdecai,60.0,30.41856,106.0,5.4,10.241861
Ex Machina,15.0,36.869414,108.0,7.6,14.14078
Aferim!,1.379375,0.105097,108.0,7.5,2.214179
The Boy Next Door,4.0,52.425855,91.0,4.1,10.200398
Italiano medio,1.81672,4.5418,90.0,6.0,3.782108
Kingsman: The Secret Service,81.0,414.351546,130.0,7.6,28.224212
The Lazarus Effect,3.3,64.110728,83.0,5.1,5.840554
Project Almanac,12.0,32.248241,106.0,6.4,9.363482
It Follows,2.0,14.674076,100.0,6.6,20.359336
Jupiter Ascending,176.000003,183.987723,124.0,5.2,21.463465
The SpongeBob Movie: Sponge Out of Water,74.0,311.594032,93.0,5.7,12.334689
Yennai Arindhaal,7.9,16.0,176.0,6.6,0.86433
Fifty Shades of Grey,40.0,571.006128,125.0,5.2,33.068431
Demonic,3.0,3.387,83.0,5.0,9.234943
The Gunman,40.0,13.644292,115.0,5.5,11.429831
Dragon Blade,65.0,121.545703,127.0,5.9,5.462048
Wolf Totem,38.0,123.205624,116.0,6.4,6.542647
The DUFF,8.5,43.528634,100.0,6.8,8.592449
Badlapur,3.7,11.48,128.0,6.8,1.493061
Hot Tub Time Machine 2,14.0,12.314651,93.0,5.0,6.575393
The Battalion,10.0,7.547762,120.0,5.9,1.557671
Focus,50.1,153.962963,105.0,6.7,10.035362
The Second Best Exotic Marigold Hotel,10.0,85.978266,122.0,6.3,5.204474
Chappie,49.0,104.399548,120.0,6.6,30.206365
Unfinished Business,35.0,14.431253,91.0,5.0,10.24952
Run All Night,50.0,71.561644,114.0,6.3,16.838145
Cinderella,95.0,543.514353,105.0,6.7,19.801128
Child 44,50.0,3.32433,137.0,6.1,17.608346
Insurgent,110.0,295.238201,119.0,6.2,27.887186
Home,135.0,368.871007,94.0,6.8,13.422713
Danny Collins,10.0,10.835752,107.0,6.6,16.903373
Get Hard,40.0,111.811453,100.0,5.9,8.178015
Dark Places,20.0,0.208588,113.0,5.7,9.188583
Furious 7,190.0,1506.24936,137.0,7.3,27.275687
Wolf Warrior,12.0,80.0,90.0,5.8,2.162781
While We're Young,10.0,7.587485,97.0,5.8,9.42755
Lost River,2.0,0.045431,95.0,5.8,6.640704
The Longest Ride,34.0,63.013281,128.0,7.3,10.264416
Woman in Gold,11.0,61.619773,120.0,7.3,11.61
The Age of Adaline,25.0,65.663276,112.0,7.4,10.542026
Paul Blart: Mall Cop 2,38.0,107.597242,94.0,5.0,17.02038
Unfriended,1.0,62.88209,82.0,5.5,10.07817
O Kadhal Kanmani,0.94,5.1,138.0,5.8,0.739665
Dragon Ball Z: Resurrection 'F',5.0,61.76819,93.0,6.8,11.350372
Avengers: Age of Ultron,280.0,1405.403694,141.0,7.3,37.37942
Little Boy,20.0,6.485961,106.0,7.0,11.946728
The Dawns Here Are Quiet,3.3,5.249225,120.0,6.5,4.445867
Gabbar Is Back,11.0,41.0,128.0,7.0,1.812728
Spy,65.0,235.666219,120.0,6.9,13.257467
Pitch Perfect 2,29.0,287.506194,115.0,6.8,15.862632
Piku,5.5,22.159216,123.0,6.8,2.942711
The D Train,0.447524,0.771317,101.0,4.5,3.993759
Maggie,4.0,0.187112,95.0,5.2,12.020933
Hot Pursuit,35.0,51.680201,87.0,5.4,6.90658
Standing Tall,5.0,0.026144,119.0,7.3,4.206655
Mad Max: Fury Road,150.0,378.85834,120.0,7.3,29.36178
Bombay Velvet,18.0,1.5,151.0,5.4,1.377993
Louder Than Bombs,11.0,0.161789,109.0,6.7,12.293202
Tomorrowland,190.0,209.154322,130.0,6.2,22.296076
Youth,13.36,2.0,118.0,6.7,8.717661
Poltergeist,35.0,95.437994,93.0,5.0,15.968492
3 Braves,0.143149,0.645135,94.0,7.5,0.091951
Sunshine Superman,0.4,0.088097,100.0,7.2,0.984906
Embrace of the Serpent,1.4,1.320005,125.0,7.8,5.061041
Aloha,37.0,26.25002,105.0,5.2,8.451297
San Andreas,110.0,470.490832,114.0,6.0,20.547925
Premam,6.2,11.0,165.0,6.4,0.81609
Manglehorn,4.0,0.143101,97.0,5.2,4.69699
Entourage,30.0,49.263404,104.0,6.2,14.013413
Grandma,0.6,7.087452,78.0,6.1,4.565414
Insidious: Chapter 3,10.0,104.303851,97.0,6.3,10.098792
Dil Dhadakne Do,13.0,22.0,170.0,6.7,2.337434
Inside Out,175.0,857.611174,94.0,7.9,23.985587
Jurassic World,150.0,1513.52881,124.0,6.5,32.790475
Son of Saul,1.0,1.777043,107.0,7.1,6.403937
Southpaw,30.0,91.709827,123.0,7.3,12.370126
Minions,74.0,1156.730962,91.0,6.4,547.488298
Mustang,1.3,0.25,97.0,8.0,6.49255
Paper Towns,12.0,85.5123,109.0,6.1,9.662731
Dope,0.7,17.986781,103.0,7.2,7.948581
Terminator Genisys,155.0,440.603537,126.0,5.8,30.188198
Ted 2,68.0,217.022588,115.0,6.2,42.061481
Max,20.0,43.967255,111.0,6.8,7.987747
Knock Knock,2.5,6.341684,99.0,4.9,11.898793
Indru Netru Naalai,0.62,1.4,146.0,7.4,0.326862
Strangerland,10.0,0.017472,111.0,5.1,5.975657
Magic Mike XXL,14.8,122.513057,115.0,6.2,8.76993
Love,3.0,0.249083,134.0,5.2,2.328321
Self/less,26.0,30.523226,116.0,6.3,25.301568
Baahubali: The Beginning,40.0,100.0,159.0,7.5,11.80967
Ricki and the Flash,18.0,41.325328,100.0,5.6,16.778946
Tangerine,0.1,0.702354,87.0,6.9,4.832631
The Gallows,0.1,42.66441,87.0,4.9,7.51505
Monkey King: Hero Is Back,10.0,150.0,89.0,7.5,3.759301
Ant-Man,130.0,519.311965,117.0,7.0,26.882388
Equals,16.0,2.084628,101.0,5.9,19.803969
Horoscope for Good Luck,2.8,0.964206,95.0,5.0,0.502326
Pixels,88.0,243.637091,105.0,5.6,21.14796
Monster Hunt,40.0,385.284817,111.0,5.7,5.361771
Bajrangi Bhaijaan,14.0,98.0,163.0,7.7,6.31224
Trainwreck,35.0,140.795793,125.0,5.9,17.310647
Irrational Man,11.0,27.391084,95.0,6.3,6.862812
Mission: Impossible - Rogue Nation,150.0,682.330139,131.0,7.1,17.836882
The Vatican Tapes,13.0,1.784763,91.0,4.6,5.149301
Vacation,31.0,104.384188,99.0,6.1,11.33038
The Little Prince,64.0,97.57125,92.0,7.6,11.376954
The Gift,5.0,58.978653,108.0,6.7,8.585856
Momentum,20.0,0.133332,96.0,5.9,7.895442
Fantastic Four,120.0,167.977596,100.0,4.4,17.246484
Goosebumps,58.0,158.162788,103.0,6.2,12.365292
The 33,25.0,24.902723,120.0,6.0,8.383246
The Diary of a Teenage Girl,2.0,1.477002,98.0,6.8,14.986654
Straight Outta Compton,28.0,201.634991,147.0,7.7,21.183077
The Man from U.N.C.L.E.,75.0,108.145109,116.0,7.1,14.656875
Macbeth,15.0,12.601706,113.0,6.4,12.493466
American Ultra,28.0,27.139524,96.0,6.0,9.534828
Sinister 2,10.0,52.882018,97.0,5.5,17.602928
Hitman: Agent 47,35.0,81.96745,96.0,5.5,10.721799
Loham,1.050255,2.250547,129.0,4.4,0.633653
We Are Your Friends,6.0,11.12209,96.0,6.3,9.023686
No Escape,5.0,54.418872,103.0,6.7,14.13262
The Assassin,15.0,0.632542,105.0,6.6,6.294815
War Room,3.0,67.790117,120.0,6.9,5.384163
Capture the Flag,14.0,8.30669,94.0,5.7,6.345679
The Wave,5.904067,12.975143,104.0,6.5,6.982302
A Walk in the Woods,8.0,35.991087,104.0,5.7,12.019571
The Transporter Refueled,25.0,72.62967,96.0,5.3,11.007319
Black Mass,53.0,98.837872,122.0,6.3,10.61072
Legend,25.0,42.972994,131.0,6.7,11.187833
Maze Runner: The Scorch Trials,61.0,311.256926,132.0,6.5,41.225769
The Visit,5.0,98.450062,94.0,6.0,15.021058
Queen of Spades: The Dark Rite,1.0,2.228115,93.0,5.3,1.896218
Everest,55.0,203.427584,121.0,6.7,10.758754
90 Minutes in Heaven,5.0,4.842699,121.0,5.4,4.222496
The Perfect Guy,12.0,60.273173,100.0,5.6,7.607052
Our Brand Is Crisis,28.0,7.002261,108.0,5.8,12.158176
Beasts of No Nation,6.0,9.0777,137.0,7.6,11.732546
Eye in the Sky,13.0,18.704595,102.0,7.2,10.564701
Truth,9.6,2.541554,121.0,6.5,6.133745
Hardcore Henry,10.0,14.33379,97.0,6.2,14.544852
Pawn Sacrifice,19.0,5.578519,115.0,6.7,7.399209
Captive,2.0,2.801508,97.0,5.6,5.396271
Orleans,2.5,0.302,106.0,6.0,0.192475
Sicario,30.0,84.025816,121.0,7.2,19.511221
Stonewall,13.5,0.187674,129.0,5.2,3.531089
Hotel Transylvania 2,80.0,473.226958,89.0,6.7,11.760218
Pan,150.0,128.38832,111.0,5.9,11.30428
The Intern,35.0,194.564672,121.0,7.1,15.651705
The Walk,35.0,61.181942,123.0,6.9,9.425787
The Martian,108.0,630.16189,141.0,7.6,25.62993
The Dressmaker,11.93,18.34,118.0,6.9,7.95686
Burnt,20.0,36.606743,100.0,6.3,8.066726
Freeheld,7.0,0.573335,103.0,7.1,4.955317
Look Who's Back,3.196621,25.513752,116.0,6.8,6.704659
The Lobster,4.0,15.656193,118.0,6.7,11.223033
Steve Jobs,30.0,34.441873,122.0,6.8,16.224866
Crimson Peak,55.0,74.679822,119.0,6.4,13.492684
Secret in Their Eyes,19.5,34.85499,111.0,6.2,6.79115
Bridge of Spies,40.0,165.478348,141.0,7.2,13.707888
Woodlawn,12.0,14.394097,123.0,6.8,3.216606
Room,6.0,35.401758,117.0,8.1,12.443291
Suffragette,14.0,16.00242,106.0,7.1,8.093442
Brooklyn,11.0,62.076141,111.0,7.2,7.991613
The Last Witch Hunter,90.0,146.93691,106.0,5.7,13.412445
Paranormal Activity: The Ghost Dimension,10.0,78.096553,88.0,5.0,9.185701
Jem and the Holograms,5.0,2.333684,119.0,5.4,5.394112
Rock the Kasbah,15.0,3.020664,100.0,5.2,10.394389
Scouts Guide to the Zombie Apocalypse,15.0,14.860766,93.0,6.2,20.683405
Spectre,245.0,880.674609,148.0,6.3,24.926577
Trumbo,15.0,8.235661,124.0,7.3,7.358726
The Peanuts Movie,99.0,246.233113,88.0,6.5,12.338346
Lost in the Sun,0.025,0.025,95.0,5.8,3.985181
Spotlight,20.0,88.346473,128.0,7.8,14.63239
Victor Frankenstein,40.0,34.227298,109.0,5.6,9.447808
Prem Ratan Dhan Payo,23.4,67.0,174.0,5.6,2.864948
Concussion,35.0,50.36379,123.0,7.0,7.739783
Love the Coopers,17.0,42.426912,107.0,5.4,5.660649
Katyar Kaljat Ghusali,1.5,4.4,162.0,9.0,0.446454
By the Sea,10.0,3.727746,122.0,5.4,12.61223
Heist,8.9,4.1,93.0,5.6,8.476315
The Lady in the Van,6.0,41.387687,104.0,6.0,5.799373
The Good Dinosaur,175.0,331.926147,93.0,6.6,12.319595
The Hunger Games: Mockingjay - Part 2,160.0,653.428261,137.0,6.6,26.628178
Carol,11.8,40.272135,118.0,7.3,8.364201
In the Heart of the Sea,100.0,93.820758,122.0,6.5,11.696923
The Night Before,25.0,52.395996,101.0,6.1,10.516094
Creed,37.0,173.567581,133.0,7.3,33.449723
Krampus,15.0,61.548707,98.0,5.9,15.553313
"Hello, My Name Is Doris",1.0,14.444999,95.0,6.5,14.992311
The Danish Girl,15.0,64.191523,120.0,7.4,11.245661
Point Break,105.0,133.718711,114.0,5.5,7.291872
He's a Dragon,18.0,1.776333,110.0,6.6,5.978316
The Letters,1e-06,1e-06,114.0,5.6,2.240259
The Big Short,28.0,133.346506,130.0,7.3,13.143061
Star Wars: The Force Awakens,245.0,2068.223624,136.0,7.5,31.626013
The Tiger: An Old Hunter's Tale,0.005,11.083449,139.0,7.5,3.447894
Dilwale,26.0,61.0,158.0,6.3,4.081193
Bajirao Mastani,19.5,56.0,150.0,7.2,4.683689
Sisters,30.0,105.011053,118.0,5.8,13.799419
Mojin: The Lost Legend,37.0,278.3,127.0,6.0,4.209701
Ip Man 3,36.0,156.844753,105.0,6.5,8.970494
Charlie,1.9,5.9,130.0,7.4,1.188662
Joy,60.0,101.134059,124.0,6.4,12.975936
The Revenant,135.0,532.950503,156.0,7.3,23.501228
The Hateful Eight,44.0,155.760117,167.0,7.6,20.328822
Daddy's Home,50.0,242.786137,96.0,5.8,8.009226
The Lure,1.3,0.101657,92.0,6.1,2.159038
Anomalisa,8.0,5.659286,90.0,6.9,10.428421
Jane Got a Gun,25.0,1.397284,98.0,5.4,8.826071
Friend Request,9.9,2.4,92.0,5.3,14.282584
The Forest,10.0,40.055439,95.0,4.8,7.384688
Wazir,5.2,9.2,102.0,6.7,3.571376
13 Hours: The Secret Soldiers of Benghazi,50.0,69.41137,144.0,7.0,18.022579
Norm of the North,18.0,17.062499,86.0,4.1,7.008103
Ride Along 2,40.0,124.827316,102.0,6.1,9.420931
The 5th Wave,38.0,109.906372,112.0,5.6,10.788263
Dirty Grandpa,11.5,94.073028,102.0,5.7,16.290586
How to Be Single,38.0,112.343513,110.0,5.9,8.898988
The Boy,10.0,64.188367,97.0,5.8,17.028854
Airlift,4.5,32.0,126.0,7.3,3.376147
The Bronze,3.5,0.615816,108.0,5.5,5.353826
Kung Fu Panda 3,145.0,521.170825,95.0,6.7,14.696548
The Finest Hours,80.0,52.09909,114.0,6.3,10.385757
Irudhi Suttru,0.3,2.1,112.0,6.7,0.756243
Fifty Shades of Black,20.0,21.164799,92.0,4.3,6.785049
A Violent Prosecutor,0.0005,5e-05,126.0,7.6,1.398756
Robinson Crusoe,13.5,3.342697,90.0,5.8,8.969705
Action Hero Biju,0.3,2.5,144.0,7.7,0.350207
The Choice,10.0,18.730891,111.0,6.7,8.28378
Pride and Prejudice and Zombies,28.0,16.374328,108.0,5.5,7.954623
Visaranai,0.325,1.6,118.0,8.0,0.867549
"Hail, Caesar!",22.0,63.647656,106.0,5.7,11.241366
I Saw the Light,13.0,1.646788,123.0,5.9,4.654312
Zoolander 2,50.0,55.969,100.0,4.7,10.155109
The Mermaid,60.72,553.810228,93.0,6.2,5.296052
Deadpool,58.0,783.112979,108.0,7.4,187.860492
3 Generations,5.0,0.443962,87.0,6.1,4.626438
Zootopia,150.0,1023.784195,108.0,7.7,26.024868
Colonia,14.0,3.621046,120.0,7.4,10.156891
Midnight Special,18.0,6.212282,112.0,6.2,12.682927
Risen,20.0,46.069568,107.0,5.7,8.759801
Neerja,10.721568,2.978994,122.0,7.4,1.68625
Triple 9,20.0,12.639297,115.0,5.6,12.892504
The Witch,3.5,40.423945,92.0,6.3,11.840138
Race,5.0,24.804129,134.0,7.0,7.979302
Grimsby,35.0,25.182929,83.0,5.7,13.912531
Gods of Egypt,140.0,150.680864,127.0,5.2,13.337707
Eddie the Eagle,23.0,46.152411,106.0,7.2,7.528276
Mr. Right,8.0,0.034694,95.0,6.3,7.317816
London Has Fallen,60.0,205.754447,99.0,5.8,15.037993
Musudan,0.0005,0.0005,87.0,5.5,0.460016
A Conspiracy of Faith,5.21,5.9,112.0,6.8,6.859858
To Steal from a Thief,6.7,12.118661,96.0,6.1,4.987123
Whiskey Tango Foxtrot,35.0,23.083334,112.0,6.0,8.155604
Allegiant,110.0,179.246868,121.0,5.9,18.386172
10 Cloverfield Lane,15.0,108.286421,103.0,6.8,14.421528
The Young Messiah,18.5,6.490401,120.0,6.4,1.729199
Sing Street,4.0,13.624522,106.0,8.0,10.672862
Jimmy Vestvood: Amerikan Hero,2.5,0.230069,84.0,5.4,1.216497
