title,budget,revenue,runtime,vote_average,popularity
RED,58.0,71.664962,111.0,6.6,12.595165
Everything Must Go,5.0,2.614773,97.0,6.0,4.779994
Hereafter,50.0,105.197635,129.0,5.8,7.942766
Jackass 3D,20.0,117.224271,94.0,6.4,10.997518
Harry Potter and the Deathly Hallows: Part 1,250.0,954.305868,146.0,7.5,23.300362
West Is West,3.837625,3.867,103.0,6.3,0.749665
Little White Lies,25.0,48.53147,154.0,7.1,7.594334
Paranormal Activity 2,3.0,177.512032,91.0,5.7,7.388933
Saw: The Final Chapter,20.0,136.150434,90.0,5.8,16.626655
The Company Men,15.0,4.882577,104.0,6.4,5.858803
Barney's Version,30.0,8.454301,134.0,7.2,7.524794
The Other Woman,30.0,102.0,98.0,6.0,6.212898
Megamind,130.0,321.887208,95.0,6.7,11.603905
Burke & Hare,10.0,4.349187,91.0,6.1,7.787593
Troll Hunter,3.5,4.159678,103.0,6.7,6.097684
The Princess of Montpensier,14.734,6.775121,139.0,6.4,2.156145
Due Date,65.0,211.780824,95.0,6.2,11.73956
Unstoppable,100.0,167.805466,98.0,6.3,12.697059
Another Year,8.0,18.124262,129.0,7.0,5.000657
127 Hours,18.0,35.69292,94.0,7.0,11.176797
Don't Be Afraid of the Dark,25.0,36.993168,99.0,5.4,8.67817
London Boulevard,25.0,4.644108,103.0,5.7,11.421915
Skyline,10.0,66.821036,100.0,4.7,7.676017
Tiny Furniture,0.065,0.416498,99.0,5.6,2.799356
The Next Three Days,30.0,51.148651,133.0,6.9,9.591425
Love & Other Drugs,30.0,102.820008,112.0,6.6,7.575696
Faster,24.0,23.081726,98.0,6.1,9.014972
Burlesque,55.0,89.519773,119.0,6.9,9.276539
Tangled,260.0,591.794936,100.0,7.4,14.684761
The Nutcracker: The Untold Story,90.0,16.178959,110.0,5.3,3.394928
Space Battleship Yamato,12.0,11.212294,131.0,6.3,5.23198
Black Swan,13.0,327.803731,108.0,7.3,12.989056
The Warrior's Way,42.0,11.087569,100.0,6.3,5.510805
The Tourist,100.0,278.731369,103.0,6.0,12.845045
New Kids Turbo,1.5,8.786756,84.0,6.3,4.330658
TRON: Legacy,170.0,400.062763,125.0,6.3,21.259
Beyond,3.0,4.80008,99.0,6.2,0.702712
Yogi Bear,80.0,201.584141,80.0,5.2,6.598296
Six Degrees of Celebration,5.0,22.772019,89.0,6.1,2.025505
Rabbit Hole,5.0,5.129058,91.0,6.8,7.007993
The Last Circus,7.0,3.218666,101.0,6.6,4.896196
The Fighter,25.0,93.617009,116.0,7.2,14.141837
How Do You Know,120.0,48.668907,121.0,4.9,5.458387
Little Fockers,100.0,310.650585,98.0,5.5,9.73941
Country Strong,15.0,20.529194,117.0,5.9,4.582024
True Grit,38.0,252.276927,110.0,7.2,10.730765
Gulliver's Travels,112.0,237.382724,85.0,4.9,7.565799
Blue Valentine,3.5,16.56624,112.0,6.9,11.107914
Tri bogatyrya i Shamakhanskaya tsaritsa,3.0,19.010585,73.0,5.6,1.412333
The Last Godfather,13.4,16.7,100.0,4.7,1.223071
The Good Doctor,6.0,0.005206,93.0,5.0,8.278079
Season of the Witch,40.0,88.1,95.0,5.2,13.471159
The Green Hornet,120.0,227.817248,119.0,5.5,7.888013
The Dilemma,70.0,67.112664,111.0,5.2,7.513067
The Mechanic,40.0,51.070807,93.0,6.3,9.832342
Gnomeo & Juliet,36.0,189.712432,84.0,5.8,9.244469
Aadukalam,4.0,6.0,160.0,6.8,0.372987
The Best Movie 3-DE,6.5,9.816332,102.0,3.0,0.877477
Shaolin,29.0,33.662874,131.0,6.5,5.311245
No Strings Attached,25.0,147.78044,107.0,6.1,8.88057
Silent House,2.0,13.101672,85.0,5.2,10.239941
Beastly,17.0,43.165571,86.0,5.9,7.364563
Life in a Day,0.045202,0.225861,95.0,7.3,4.955542
From Prada to Nada,9.3e-05,2.5,107.0,5.0,11.096527
The Rite,37.0,96.047633,114.0,5.8,7.128117
Kokowaah,5.65,43.0,123.0,6.4,5.24461
Chalet Girl,8.0,1.749457,96.0,6.4,6.496259
On the Hook!,3.0,1.957,90.0,4.7,0.445269
Sanctum,30.0,108.60931,108.0,5.8,7.000775
The Roommate,16.0,40.492759,91.0,5.3,8.453293
The Eagle,25.0,27.12204,114.0,5.9,6.196929
Just Go with It,80.0,214.918407,117.0,6.3,9.267959
Justin Bieber: Never Say Never,13.0,98.441954,105.0,4.8,5.892524
The Beaver,21.0,0.970816,91.0,6.2,5.484379
The Devil's Double,19.1,5.728213,109.0,6.5,6.681211
Coriolanus,7.7,1.072602,123.0,5.9,6.914615
Paul,40.0,97.55205,104.0,6.5,10.24382
Unknown,30.0,130.786397,113.0,6.5,14.443599
"Big Mommas: Like Father, Like Son",32.0,83.615414,107.0,5.3,7.564777
I Am Number Four,50.0,144.49283,109.0,5.9,9.388376
Drive Angry,50.0,28.931401,105.0,5.3,7.668829
Pina,4.317946,14.624826,106.0,7.3,12.452985
Hall Pass,36.0,83.160734,105.0,5.4,9.13273
Rango,135.0,245.724603,107.0,6.6,10.581925
One Day,15.0,59.389433,107.0,7.0,11.239012
The Adjustment Bureau,50.2,127.869379,106.0,6.5,9.420301
Take Me Home Tonight,19.0,6.928068,97.0,6.2,8.132811
Battle: Los Angeles,70.0,202.466756,116.0,5.5,6.753746
Limitless,27.0,161.849455,105.0,7.1,12.114955
Mars Needs Moms,150.0,38.992758,88.0,5.6,7.24717
Vipers Nest,3.5,18.0,105.0,5.2,1.426776
Red Riding Hood,42.0,89.162162,100.0,5.7,10.174298
The Divide,3.0,0.022,112.0,5.7,7.406609
Water for Elephants,38.0,114.15623,120.0,6.7,7.649466
The Twilight Saga: Breaking Dawn - Part 1,110.0,712.171856,117.0,5.8,25.9725
Dylan Dog: Dead of Night,20.0,4.634062,107.0,4.5,12.763976
The Lincoln Lawyer,40.0,85.412898,119.0,7.0,6.807442
Win Win,10.831173,10.654385,106.0,6.7,4.480723
The Music Never Stopped,4.0,0.253899,105.0,7.3,13.504065
Sucker Punch,82.0,89.792502,110.0,5.9,13.779527
Tanu Weds Manu,0.4,0.252,119.0,6.1,1.252133
Diary of a Wimpy Kid: Rodrick Rules,21.0,72.417394,99.0,6.3,8.425361
Hop,63.0,183.953723,95.0,5.5,8.904488
Source Code,32.0,147.332697,93.0,7.1,9.796962
Boris - Il film,3.34785,1.248748,108.0,6.8,2.906503
Rio,90.0,484.63576,96.0,6.5,10.403228
Hanna,30.0,63.782078,111.0,6.5,8.071196
Arthur,40.0,45.735397,110.0,5.3,9.698075
Soul Surfer,18.0,47.08899,106.0,6.9,11.009053
Thank You,13.1,4.1,140.0,5.7,1.417392
Your Highness,49.9,26.121638,102.0,5.2,5.67375
A Lonely Place to Die,4.0,25.345,99.0,6.2,6.780752
Scream 4,40.0,97.138686,111.0,6.1,10.000721
Winnie the Pooh,30.0,14.46,63.0,6.8,7.357682
Road to Nowhere,5.0,0.027046,121.0,5.0,1.744659
Atlas Shrugged Part I,15.0,4.627375,97.0,5.0,3.4949
5 Days of War,20.0,0.017479,113.0,5.8,3.174512
Bellflower,0.017,0.101236,106.0,6.4,7.759376
William & Kate,2e-05,1.5e-05,83.0,5.8,2.493638
Fast Five,125.0,626.137675,130.0,7.1,1.420361
Thor,150.0,449.326618,115.0,6.6,29.158489
Madea's Big Happy Family,25.0,53.213633,106.0,6.7,2.503594
Bridesmaids,32.5,288.383523,125.0,6.5,6.810991
Prom,8.0,10.13,104.0,5.7,6.167646
Hoodwinked Too! Hood VS. Evil,30.0,13.521829,86.0,4.8,9.382577
Sunny,3.55,48.0,124.0,8.0,2.700233
Priest,60.0,78.309131,87.0,5.4,8.259952
Something Borrowed,35.0,59.901913,112.0,5.9,5.47309
Jumping the Broom,6.6,37.71061,112.0,6.0,2.664211
The Ledge,10.0,0.610986,101.0,5.9,4.883085
Hobo with a Shotgun,3.0,0.748453,86.0,5.7,10.926038
Midnight in Paris,30.0,151.119219,94.0,7.4,11.43256
Attack the Block,14.350531,3.964682,88.0,6.3,9.93263
Pirates of the Caribbean: On Stranger Tides,380.0,1045.713802,136.0,6.4,27.88772
The Artist,15.0,133.432856,100.0,7.3,11.440948
Bad Teacher,20.0,216.197492,92.0,5.4,7.310686
The Tree of Life,32.0,54.674226,139.0,6.5,11.204539
Blitz,15.774948,0.741875,97.0,6.0,9.491865
X-Men: First Class,160.0,353.624124,132.0,7.1,0.738633
The Hangover Part II,80.0,254.455986,102.0,6.2,21.893532
Kung Fu Panda 2,150.0,665.692281,91.0,6.7,11.481921
Melancholia,7.4,21.817298,136.0,7.0,8.124767
"Love, Wedding, Marriage",1e-06,0.001378,90.0,5.1,4.060122
Super 8,50.0,260.095987,112.0,6.6,19.529911
Judy Moody and the Not Bummer Summer,20.0,14.166853,91.0,5.1,2.321394
Cars 2,200.0,559.852396,106.0,5.8,13.693002
17 Girls,4.141459,0.201607,87.0,5.6,5.109329
Green Lantern,200.0,219.851172,114.0,5.1,13.985631
Mr. Popper's Penguins,55.0,187.361754,94.0,5.7,15.214342
L!fe Happens,0.93,0.030905,100.0,5.3,10.114319
A Better Life,10.0,1.759252,98.0,7.0,3.033797
Transformers: Dark of the Moon,195.0,1123.746996,154.0,6.1,4.503505
Larry Crowne,30.0,36.160375,98.0,5.7,10.778028
Delhi Belly,4.09,18.035,102.0,7.0,1.932489
Monte Carlo,20.0,17.425,109.0,6.0,8.34835
1911,30.0,0.108348,125.0,5.0,3.835131
Zookeeper,80.0,169.852759,102.0,5.3,11.341084
The Guard,6.0,19.560274,96.0,6.8,11.256636
Harry Potter and the Deathly Hallows: Part 2,125.0,1342.0,130.0,7.9,24.990737
Horrible Bosses,35.0,117.0,98.0,6.4,9.856955
The Monk,11.0,0.807535,101.0,5.8,8.888718
Snow Flower and the Secret Fan,0.134005,1.332231,104.0,5.3,2.003832
Apollo 18,5.0,25.562924,86.0,5.0,10.711742
Friends with Benefits,35.0,150.483765,109.0,6.5,10.009007
Pregnant,2.0,8.0,81.0,3.1,0.397106
Singham,3.062,25.034,143.0,7.0,2.07741
Another Earth,0.1,1.776935,92.0,6.8,8.957372
Captain America: The First Avenger,140.0,370.569774,124.0,6.6,19.323582
Colombiana,40.0,60.965854,108.0,6.5,8.062578
Cowboys & Aliens,163.0,174.822325,119.0,5.4,10.958669
"Crazy, Stupid, Love.",50.0,142.851197,118.0,7.0,10.246173
The Smurfs,110.0,563.749323,103.0,5.5,10.219758
Rise of the Planet of the Apes,93.0,482.860185,105.0,7.0,41.613762
The Change-Up,52.0,75.450437,112.0,5.9,6.906145
Drive,15.0,78.054825,100.0,7.4,15.388875
The Help,25.0,124.272124,146.0,7.9,7.486118
War of the Arrows,8.0,49.0,122.0,6.7,7.030308
Glee: The Concert Movie,9.0,18.663238,84.0,6.9,9.202416
30 Minutes or Less,28.0,40.54744,83.0,5.6,9.763493
Final Destination 5,47.0,157.887643,92.0,5.9,12.912491
The Awakening,4.798235,0.209696,107.0,6.3,9.336568
Conan the Barbarian,90.0,48.795021,113.0,5.2,10.949076
The Skin I Live In,13.0,5.774854,117.0,7.4,9.782542
Fright Night,17.0,24.922237,106.0,6.0,9.665251
Spy Kids: All the Time in the World,27.0,85.56431,89.0,4.4,9.580214
Red State,4.0,1.104682,88.0,5.9,6.340655
Flypaper,5.0,3.142154,87.0,6.2,8.132748
Our Idiot Brother,10.0,17.273593,90.0,5.9,5.918193
Higher Ground,2.0,0.841733,109.0,5.3,1.137468
Remington and the Curse of the Zombadings,0.022361,0.721651,96.0,5.3,0.673247
The Three Musketeers,75.0,132.274484,110.0,5.6,6.303466
Bodyguard,0.00013,8e-06,130.0,5.2,2.402032
Mankatha,6.1,28.0,149.0,5.6,1.145752
W.E.,15.0,0.868439,119.0,5.8,4.974482
Shark Night,28.0,10.126458,91.0,4.9,6.062425
Kill List,0.5,0.17176,95.0,6.0,15.014569
Seeking Justice,17.0,12.355798,105.0,5.8,10.250997
Wuthering Heights,8.0,0.100915,129.0,6.0,5.276685
The Raid,1.1,4.105187,101.0,7.3,10.528833
Contagion,60.0,137.551594,106.0,6.2,8.244359
Elles,4.0,0.911466,96.0,5.1,9.921433
The Descendants,20.0,177.243185,115.0,6.7,11.794753
Mere Brother Ki Dulhan,5.51,18.05,139.0,6.5,1.838865
Warrior,25.0,23.057115,140.0,7.7,13.121626
Salmon Fishing in the Yemen,5.0,34.564651,107.0,6.3,6.753328
Killer Joe,10.0,3.665069,102.0,6.4,6.452069
"Pink Ribbons, Inc.",0.9,0.025,97.0,6.8,0.489328
Your Sister's Sister,0.125,3.2,90.0,6.5,10.850569
"Jeff, Who Lives at Home",10.0,4.41758,83.0,6.1,5.872794
Johnny English Reborn,45.0,160.078586,101.0,6.0,10.668658
Straw Dogs,25.0,10.324441,110.0,5.5,8.048422
Carnage,25.0,27.603069,80.0,7.0,8.844835
Restless,8.0,0.163265,91.0,6.3,6.140556
I Don't Know How She Does It,24.0,30.551495,89.0,5.0,6.562982
Weekend,0.008,0.484592,96.0,7.5,4.727171
Silenced,2.2,31.5,125.0,8.0,4.385574
Abduction,35.0,82.087155,106.0,5.6,10.512109
Moneyball,50.0,110.206216,133.0,7.0,15.785663
Killer Elite,66.0,57.777106,116.0,6.1,8.046632
Machine Gun Preacher,30.0,2.527904,129.0,6.4,5.87767
Dolphin Tale,37.0,95.404397,113.0,6.6,6.695229
The Ides of March,12.5,75.993061,101.0,6.5,6.82647
We Need to Talk About Kevin,7.0,6.038942,112.0,7.4,5.325574
Margin Call,3.5,19.504039,107.0,6.7,8.340757
Real Steel,110.0,299.268508,127.0,6.6,19.265552
Margaret,14.0,0.046495,149.0,6.1,5.113573
What's Your Number?,20.0,30.426096,106.0,6.2,6.958086
Courageous,1.0,34.522221,129.0,6.8,7.666558
50/50,8.0,39.187783,100.0,7.0,11.869481
A Dangerous Method,15.0,27.462041,99.0,6.2,9.865944
Dream House,50.0,38.50234,84.0,5.8,9.995617
This Must Be the Place,25.0,11.790979,118.0,6.7,10.710831
Shame,6.5,17.693675,100.0,7.0,11.72049
Footloose,24.0,63.543328,113.0,6.4,6.162257
The Thing,35.0,28.12867,103.0,6.0,10.169411
The Rum Diary,45.0,24.0,120.0,5.6,10.110504
Trespass,36.0,9.612469,91.0,5.4,9.540381
The Big Year,41.0,7.448385,100.0,5.6,10.267905
A Few Best Men,12.468389,29.007412,97.0,5.9,6.116093
My Week with Marilyn,6.4,35.057696,99.0,6.6,12.203066
Paranormal Activity 3,5.0,205.703818,83.0,5.9,10.996308
Anonymous,30.0,15.395087,130.0,6.3,13.413895
The Afflicted,0.18,0.175742,85.0,4.0,0.437372
The Adventures of Tintin,130.0,371.940071,107.0,6.7,19.201504
Chicken with Plums,12.0,1.428291,93.0,6.8,3.78207
7Aum Arivu,16.0,98.9,168.0,6.6,2.252517
The Double,17.0,3.696232,98.0,5.8,5.498819
La peggior settimana della mia vita,11.0,12.9358,0.0,5.9,5.010563
In Time,40.0,173.930596,109.0,6.7,10.324613
Like Crazy,0.25,3.542353,90.0,6.5,8.002786
Special Forces,10.0,0.010759,109.0,6.4,5.3584
The Intouchables,13.0,426.480871,112.0,8.2,16.086919
Tower Heist,75.0,152.930623,104.0,5.8,7.762917
Setup,20.0,2.128186,85.0,4.7,4.850968
A Very Harold & Kumar Christmas,19.0,35.387212,108.0,6.0,10.724679
Haywire,23.0,33.372606,93.0,5.6,9.574817
J. Edgar,35.0,84.60603,137.0,6.0,9.529382
Immortals,75.0,226.904017,110.0,5.7,10.363671
Rockstar,10.92,19.66,159.0,7.4,2.009033
Jack and Jill,79.0,149.673788,91.0,4.0,6.620033
Sleepless Night,2.5,0.003358,98.0,6.0,2.942355
Happy Feet Two,130.0,150.406466,100.0,5.8,9.141045
